✅ Opened: Analog Discovery 3 (210415BD076B)
实际称重质量 (g):
  NaCl=0.0000, KCl=0.0000, Urea=0.0000
  Lac=0.0000, NH4Cl=0.0000, CaCl2=0.0000, Glu=0.0000
  Water=1.8678
目标体积 (mL):
  NaCl=0.0, KCl=0.0, Urea=0.0
  Lac=0.0, NH4Cl=0.0, CaCl2=0.0, Glu=0.0
  Water=7.0
--------------------------------------------------
1000000.0000, 25.2104, -92.0012, 95.3928, -74.6758
869749.0026, 366.9811, -1397.8874, 1445.2558, -75.2903
756463.3276, 146.3381, -185.2342, 236.0647, -51.6907
657933.2247, 182.9451, -251.0346, 310.6241, -53.9168
572236.7659, 14.6274, -15.4595, 21.2827, -46.5841
497702.3564, 12.9762, -9.2401, 15.9298, -35.4540
432876.1281, 63.1696, -192.4571, 202.5590, -71.8288
376493.5807, 74.9750, -219.2147, 231.6815, -71.1185
327454.9163, 100.8220, -254.3092, 273.5658, -68.3739
284803.5868, 118.4999, -284.8002, 308.4694, -67.4087
247707.6356, 146.9467, -312.7169, 345.5216, -64.8310
215443.4690, 179.7158, -345.5910, 389.5265, -62.5245
187381.7423, 216.4697, -374.4034, 432.4778, -59.9647
162975.0835, 255.8628, -401.4750, 476.0756, -57.4904
141747.4163, 305.9044, -422.7530, 521.8214, -54.1105
123284.6739, 364.1666, -445.1046, 575.0960, -50.7114
107226.7222, 428.0120, -457.6805, 626.6304, -46.9186
93260.3347, 488.4881, -464.2995, 673.9397, -43.5457
81113.0831, 548.3977, -454.8100, 712.4551, -39.6704
70548.0231, 611.9577, -453.8987, 761.9162, -36.5649
61359.0727, 672.0622, -431.2123, 798.5059, -32.6853
53366.9923, 722.1774, -410.1363, 830.5131, -29.5929
46415.8883, 768.1181, -382.3489, 858.0187, -26.4629
40370.1726, 807.1578, -353.3433, 881.1101, -23.6420
35111.9173, 840.6496, -325.8305, 901.5859, -21.1860
30538.5551, 868.9172, -294.8701, 917.5868, -18.7448
26560.8778, 894.6764, -265.2188, 933.1596, -16.5120
23101.2970, 913.6390, -239.0009, 944.3822, -14.6596
20092.3300, 931.0345, -214.3930, 955.4002, -12.9677
17475.2840, 944.5088, -191.0698, 963.6412, -11.4363
15199.1108, 953.4518, -170.2253, 968.5282, -10.1227
13219.4115, 965.0623, -150.6957, 976.7571, -8.8751
11497.5700, 971.5648, -133.6124, 980.7091, -7.8304
10000.0000, 977.8721, -118.0431, 984.9711, -6.8831
8697.4900, 982.6547, -104.0592, 988.1490, -6.0449
7564.6333, 987.0130, -90.9380, 991.1934, -5.2641
6579.3322, 990.8340, -79.4169, 994.0116, -4.5826
5722.3677, 993.1793, -69.2748, 995.5924, -3.9899
4977.0236, 995.0746, -59.8577, 996.8734, -3.4424
4328.7613, 996.9770, -51.8982, 998.3268, -2.9799
3764.9358, 998.4496, -44.8580, 999.4568, -2.5724
3274.5492, 999.3379, -38.3441, 1000.0733, -2.1973
2848.0359, 1000.4372, -32.0587, 1000.9507, -1.8354
2477.0764, 999.9594, -27.8558, 1000.3473, -1.5957
2154.4347, 1000.0664, -23.1216, 1000.3336, -1.3244
1873.8174, 998.1468, -19.0351, 998.3283, -1.0925
1629.7508, 996.3384, -14.6469, 996.4461, -0.8422
1417.4742, 994.2326, -12.2813, 994.3085, -0.7077
1232.8467, 992.8175, -9.5077, 992.8630, -0.5487
1072.2672, 991.4599, -6.9751, 991.4844, -0.4031
932.6033, 990.4654, -4.9197, 990.4776, -0.2846
811.1308, 989.2945, -3.1934, 989.2996, -0.1849
705.4802, 986.7029, -2.2282, 986.7054, -0.1294
613.5907, 985.1724, -1.6885, 985.1739, -0.0982
533.6699, 983.4093, -2.1106, 983.4116, -0.1230
464.1589, 981.6587, -2.4249, 981.6617, -0.1415
403.7017, 980.3332, -3.7576, 980.3404, -0.2196
351.1192, 979.6932, -5.8064, 979.7104, -0.3396
305.3856, 978.4312, -7.6129, 978.4608, -0.4458
265.6088, 978.6500, -10.0976, 978.7021, -0.5911
231.0130, 978.4370, -12.6598, 978.5189, -0.7413
200.9233, 979.1109, -14.9432, 979.2250, -0.8744
174.7528, 979.9592, -17.8463, 980.1217, -1.0433
151.9911, 980.8182, -20.6758, 981.0361, -1.2076
132.1941, 981.7543, -23.8037, 982.0429, -1.3889
114.9757, 983.6681, -26.5398, 984.0260, -1.5455
100.0000, 985.1930, -29.3374, 985.6297, -1.7057
86.9749, 987.0535, -32.4846, 987.5879, -1.8850
75.6463, 988.7679, -35.5748, 989.4076, -2.0606
65.7933, 990.8730, -39.1632, 991.6467, -2.2634
57.2237, 991.5379, -41.8643, 992.4213, -2.4177
49.7702, 992.7997, -46.7665, 993.9006, -2.6970
43.2876, 993.4398, -51.8740, 994.7933, -2.9891
37.6494, 994.5617, -57.5923, 996.2278, -3.3141
32.7455, 995.8146, -64.3541, 997.8919, -3.6976
28.4804, 996.4701, -72.2922, 999.0890, -4.1494
24.7708, 997.4458, -81.4841, 1000.7686, -4.6703
21.5443, 998.0622, -92.1392, 1002.3062, -5.2745
18.7382, 999.0154, -105.0350, 1004.5218, -6.0019
16.2975, 999.2999, -119.2771, 1006.3932, -6.8067
14.1747, 999.8001, -135.8693, 1008.9899, -7.7389
12.3285, 1000.3260, -155.4313, 1012.3294, -8.8320
